text,label
TLS connections fail through the corporate proxy while plain HTTP works.,network
A table is locked and writes are waiting indefinitely.,database
The latest package release removed a function my code uses.,package
The library installation fails because a system dependency is missing.,package
A network request fails only when the payload is large.,network
Our application cannot connect to an external API from inside the container network.,network
Why is normalization useful when training machine learning models?,general
The CUDA kernel fails only for one specific batch.,gpu
The production image does not contain a dependency that was available during development.,deployment
The connection pool does not release connections after requests complete.,database
Explain what an AI agent is.,general
"Training uses the GPU, but inference unexpectedly runs on the CPU.",gpu
My machine cannot resolve the internal domain name.,network
The endpoint accepts the payload but silently ignores an unknown field.,api
The endpoint returns 409 Conflict when I try to create a resource.,api
pip warns that its resolver is ignoring an already installed conflicting package.,package
Packets appear to be dropped between two network segments.,network
I get a forbidden message after login even though authentication succeeded.,authentication
The database connection pool is leaking connections over time.,database
My deployment is stuck in a pending state.,deployment
"The container is running, but no port is published to the host.",deployment
The package documentation refers to a class that does not exist in my installed version.,package
The deployed service cannot read the secret that exists in the cluster.,deployment
A database migration fails with a duplicate key error.,database
"I changed my password, but the old password still seems to be required.",authentication
The container cannot mount the configured volume in production.,deployment
What does hallucination mean for a language model?,general
The login page sends me back to the sign-in screen after I enter my credentials.,authentication
The module name I need to import is different from the package name I installed.,package
The package manager cannot verify the registry certificate during installation.,package
The Kubernetes service exists but no endpoints are registered for it.,deployment
A new environment variable is present in CI but missing from the running deployment.,deployment
"Changing the DNS server fixes the connection temporarily, then the problem returns.",network
The OAuth callback returns an invalid state error after I approve access.,authentication
The production build fails during the deployment pipeline.,deployment
I cannot connect to the service after changing the network configuration.,network
The import path changed after upgrading the library.,package
An index exists in development but is missing from production.,database
Docker Compose cannot start one of the services.,deployment
The server can make outbound requests to some domains but not others.,network
What is the difference between semantic search and keyword search?,general
The database disk usage keeps growing even after many records are deleted.,database
The server is reachable from one VLAN but unreachable from another.,network
What is the difference between a parameter and a hyperparameter?,general
The application becomes unreachable whenever I enable the VPN.,network
The endpoint expects an integer but my client sends it as a string.,api
Requests work through localhost but fail when I use the server's network address.,network
The ORM says the schema is out of sync with the database.,database
A tensor is created on CPU even though the model is already on CUDA.,gpu
My PATCH request is not updating the resource.,api
Explain what LoRA is in simple terms.,general
The application fails to start after I updated the Docker image.,deployment
The package requires a newer version of glibc than the server provides.,package
I cannot reach the remote host after a router configuration change.,network
The service hostname resolves to the wrong IP address.,network
The endpoint returns 415 Unsupported Media Type.,api
The authentication server says the redirect URI does not match.,authentication
PostgreSQL connections are exhausted and new requests cannot connect.,database
I need to find which package version still contains a deprecated function used by my project.,package
My API call succeeds in Postman but fails because of CORS in the browser.,api
Rows are not being updated even though the transaction completes.,database
What does zero-shot classification mean?,general
I can reach the server by IP address but not by hostname.,network
The startup command works locally but fails inside the deployed container.,deployment
What is retrieval-augmented generation?,general
The server responds to ping but the application port is unreachable.,network
My endpoint accepts JSON but rejects the same fields when sent as form data.,api
My request body is not being parsed by the server.,api
The API responds with 500 for one specific endpoint.,api
